ankleAngleX, ankleAngleY, ankleAngleZ, lowLegAngleMag,lowLegAngleX, lowLegAngleY, lowLegAngleZ, lowLegAngleVeloMag, lowLegAngleVeloX, lowLegAngleVeloY, lowLegAngleVeloZ, lowLegAngleAccelX, lowLegAngleAccelY, lowLegAngleAccelZ, footAngleMag, footAngleX, footAngleY, footAngleZ, footAngleVeloMag, footAngleVeloX, footAngleVeloY,  footAngleVeloZ, footAngleAccelMag, footAngleAccelX, footAngleAccelY, footAngleAccelZ, footPosMag, footPosX, footPosY, footPosZ,footSpeedMag, footSpeedX, footSpeedY, footSpeedZ, footAccelMag, footAccelX, footAccelY, footAccelZ, lowLegPosMag, lowLegPosX, lowLegPosY, lowLegPosZ, lowLegSpeedMag, lowLegSpeedX, lowLegSpeedY, lowLegSpeedZ, lowLegAccelMag, lowLegAccelX, lowLegAccelY, lowLegAccelZ, medGastro, tibAnterior,
-2.7263036,-4.3853564,-2.39126,4.7940683,-0.104299404,-4.283981,-2.1493537,0.014067287,0.0039898986,-0.012876928,-0.0040192027,-0.3353505,-0.01705021,0.16439317,5.690537,2.7263036,4.385357,2.39126,0.0037207014,0.0014961701,-0.00027063134,0.0033958582,0.056029916,-0.056029916,0.0,0.0,0.9440615,-0.15131113,-0.91691995,0.16617748,0.005870467,-0.0040584803,0.0010609627,-0.00410676,0.2141663,-0.101041794,0.015640259,0.18818378,0.8922971,-0.1370006,-0.8795713,0.061476078,0.00593783,-0.004156828,0.0012660027,-0.0040467083,0.2144507,-0.105404854,0.012111664,0.18636584,6.545684,0.7908661,
-2.7323818,-4.4080067,-2.4082685,4.8049865,-0.1089883,-4.296307,-2.1488981,0.017964974,-0.0046179835,-0.01615916,-0.006347919,-0.3443153,0.011627996,0.078624785,5.718058,2.7323818,4.4080067,2.4082685,0.005597634,-0.0016086197,2.0068579E-05,0.005361478,0.12419158,-0.12419158,0.0,0.0,0.9440791,-0.15146476,-0.91691387,0.16617063,0.0061561577,-0.006145239,0.00024318695,-0.00027418137,0.1775927,-0.083470345,-0.03271103,0.15330315,0.8923173,-0.13715929,-0.8795676,0.06146774,0.006357772,-0.0063472986,0.00014781952,-0.000333488,0.17815274,-0.08761883,-0.044727325,0.14852881,7.385123,0.7797271,
-2.7392027,-4.4222684,-2.4186707,4.7825556,-0.121668875,-4.272334,-2.1459718,0.012726172,-0.0070454516,-0.008206855,-0.0067055654,-0.09709872,0.07461433,-0.18234573,5.7366934,2.7392027,4.422268,2.4186707,0.0036816625,-0.003058637,0.0018854269,0.0008028344,0.05800069,-0.05800069,0.0,0.0,0.94412196,-0.15161648,-0.91693175,0.16617724,0.0061166757,-0.006068945,-0.00071525574,0.00026464462,0.04408658,0.0030517578,-0.038337708,0.02155304,0.8923668,-0.1373167,-0.87959313,0.061470795,0.0063799545,-0.0062966347,-0.0010204315,0.00012218952,0.050199907,0.002026558,-0.04673004,0.0182271,8.045029,0.77415764,
-2.740177,-4.424721,-2.4260466,4.7289076,-0.1358573,-4.2117643,-2.1459615,0.006796414,-0.0034911474,0.0004750772,-0.0058118356,0.14217216,0.020951489,-0.060328543,5.742162,2.740177,4.424721,2.4260466,0.004374571,-0.003582597,0.0024092142,-0.00070537924,0.0209584,-0.0209584,0.0,0.0,0.94414717,-0.15171424,-0.9169492,0.16613495,0.00431718,-0.0039100647,-0.00069856644,-0.0016915798,0.1165357,0.08635521,0.000667572,-0.07824898,0.8924063,-0.1374201,-0.8796202,0.0614243,0.0046622697,-0.0041359663,-0.0010824203,-0.0018598139,0.11730758,0.086426735,-0.0024795532,-0.07928014,7.8606434,0.7908661,
-2.7335556,-4.4229937,-2.4353137,4.688693,-0.14238584,-4.1633687,-2.1517274,0.005992446,0.002809112,0.0024492075,-0.0046925135,0.25201038,-0.025689816,0.06661491,5.7415986,2.7335556,4.4229937,2.4353137,0.0034976942,-0.0028618346,0.0017669688,0.00095999363,0.028830497,0.028830497,0.0,0.0,0.94415176,-0.15175313,-0.9169625,0.16605194,0.0037052718,-0.0015556812,-0.00053167343,-0.0033205748,0.11471425,0.09417534,0.00667572,-0.0651598,0.8924274,-0.13746452,-0.8796407,0.061337985,0.0039686486,-0.0017768145,-0.0008201599,-0.003452599,0.11434224,0.09436607,0.0104904175,-0.063711405,7.09884,0.78529656,
-2.7192633,-4.4166055,-2.4396756,4.679141,-0.13182263,-4.1493764,-2.158624,0.0120426975,0.010217128,0.005434381,-0.0033323204,0.29632065,-0.008050995,-0.1102294,5.7317376,2.7192633,4.4166055,2.4396756,0.002404414,-0.00032422424,0.0015656939,-0.0017957415,0.101504415,0.101504415,0.0,0.0,0.94415945,-0.15177189,-0.91698325,0.16596405,0.0036891927,-0.0007504225,-0.00082969666,-0.003515482,0.035219274,0.03221035,-0.011920929,-0.0077962875,0.89244646,-0.13748571,-0.87966293,0.06124924,0.0037563285,-0.00084757805,-0.0008893013,-0.0035497546,0.03747426,0.037169456,-0.0027656555,-0.0038862228,6.273958,0.74631023,
-2.6976063,-4.4000883,-2.4336658,4.6713147,-0.1062267,-4.1394753,-2.1620924,0.020615067,0.016573858,0.012238393,-0.00071416446,0.25426915,-0.015637428,-0.20224527,5.706188,2.6976063,4.400088,2.4336658,0.0071827965,0.0018067493,0.0011747582,-0.0068518734,0.08523894,0.08523894,0.0,0.0,0.94416994,-0.15177226,-0.91701,0.16587572,0.0036919976,-1.4901161E-05,-0.0010704994,-0.0035333633,0.030965718,0.029420853,-0.009632111,-0.00071525574,0.8924641,-0.13748276,-0.87968737,0.061162177,0.0036190639,0.0001180172,-0.0009775162,-0.0034825504,0.038877703,0.03862381,-0.003528595,0.0026881695,6.04105,0.74631023,
-2.6738403,-4.3823524,-2.422903,4.6514378,-0.07528624,-4.117955,-2.1616313,0.022704577,0.018108442,0.013521511,0.0021796385,0.061383396,0.013456885,-0.023144148,5.676697,2.6738403,4.382352,2.422903,0.007950544,0.0023907125,0.0015111803,-0.007430477,0.02335853,0.02335853,0.0,0.0,0.94416314,-0.15174606,-0.91701895,0.16581136,0.0028023266,0.0010478497,-0.00035762787,-0.0025743246,0.06396724,0.042510033,0.028514862,0.03836155,0.89246064,-0.13745359,-0.87969273,0.06109952,0.002772948,0.001167059,-0.00021457672,-0.0025062263,0.06494027,0.04196167,0.030517578,0.039052963,6.6524334,0.7908661,
-2.6538622,-4.373788,-2.4158585,4.6384263,-0.04679724,-4.1053615,-2.1584291,0.016992366,0.014747122,0.007786565,0.0032607228,-0.1344528,0.026818551,0.15202087,5.6576834,2.6538622,4.3737884,2.4158587,0.0045014103,0.0015253036,0.002181644,-0.0036299552,0.034616355,-0.034616355,0.0,0.0,0.944133,-0.15172157,-0.91699404,0.16579989,0.0014710663,0.0009799004,0.0009965897,-0.00045895576,0.10050519,-0.0027179718,0.0541687,0.08461475,0.8924293,-0.13743141,-0.87966514,0.06108867,0.001481076,0.0008869171,0.001103878,-0.00043407083,0.09887876,-0.011205673,0.05273819,0.08288622,7.7927117,0.79643553,
-2.6378818,-4.378255,-2.4144258,4.6497455,-0.027696101,-4.1205015,-2.1542592,0.010614109,0.010356827,-0.00072919583,0.0022053835,-0.17561182,0.02514787,0.115031935,5.6530514,2.6378815,4.3782554,2.4144256,0.0029259,-0.00030679555,0.0028103408,-0.0007541569,0.07328396,-0.07328396,0.0,0.0,0.9440874,-0.15172625,-0.9169487,0.16578674,0.0018982424,-0.00018715858,0.0018143654,-0.00052571297,0.057064738,-0.046682358,0.03271103,-0.002670288,0.89238626,-0.13744275,-0.8796208,0.06107426,0.0019194904,-0.00045359135,0.0017738342,-0.0005763769,0.06021369,-0.05362034,0.026798248,-0.0056922436,8.831093,0.77415764,
